Brand,Model,Type,Price_Range,Image_Url,cc_value
Royal Enfield,Royal Enfield Meteor 350,Petrol,1.96 - 2.16 Lakh,https://cdn.bikedekho.com/processedimages/royal-enfield/meteor-350/source/meteor-35068c7e581bedf0.jpg,349
Royal Enfield,Royal Enfield Goan Classic 350,Petrol,2.18 - 2.21 Lakh,https://cdn.bikedekho.com/processedimages/royal-enfield/shotgun-350/source/shotgun-35068d29e1aa5934.jpg,349
Royal Enfield,Royal Enfield Scram 440,Petrol,2.23 - 2.31 Lakh,https://cdn.bikedekho.com/processedimages/royal-enfield/scram-440/source/scram-44068d2a20388274.jpg,443
Royal Enfield,Royal Enfield Bear 650,Petrol,3.72 - 3.94 Lakh,https://cdn.bikedekho.com/processedimages/royal-enfield/scrambler-650/source/scrambler-65068d29cd3e860e.jpg,648
TVS,TVS Raider,Petrol,80,500 - 95,000,https://cdn.bikedekho.com/processedimages/tvs/raider/source/raider68b7fd149e32c.jpg,124
TVS,TVS Apache RTR 160,Petrol,1.11 - 1.27 Lakh,https://cdn.bikedekho.com/processedimages/tvs/apache-rtr-160/source/apache-rtr-16068a8069ebda72.jpg,159
TVS,TVS Ronin,Petrol,1.25 - 1.59 Lakh,https://cdn.bikedekho.com/processedimages/tvs/retron/source/retron68d3dde65c4d2.jpg,225
TVS,TVS Apache RTR 160 4V,Petrol,1.16 - 1.39 Lakh,https://cdn.bikedekho.com/processedimages/tvs/tvs-apache/source/tvs-apache68d3da60ecae8.jpg,159
TVS,TVS Apache RTR 310,Petrol,2.21 - 2.87 Lakh,https://cdn.bikedekho.com/processedimages/tvs/2025-apache-rtr-310/source/2025-apache-rtr-3106895cc96a4d69.jpg,312
TVS,TVS Sport,Petrol,55,100 - 57,100,https://cdn.bikedekho.com/processedimages/tvs/tvs-sport/source/tvs-sport68a8157bef131.jpg,109
TVS,TVS Apache RR 310,Petrol,2.56 - 3.11 Lakh,https://cdn.bikedekho.com/processedimages/tvs/tvs-akula-310/source/tvs-akula-31068d3d9fd4bb5a.jpg,312
TVS,TVS Radeon,Petrol,55,100 - 77,900,https://cdn.bikedekho.com/processedimages/tvs/radeon/source/radeon68d3dd0d805e5.jpg,109
TVS,TVS Apache RTR 180,Petrol,1.25 - 1.28 Lakh,https://cdn.bikedekho.com/processedimages/tvs/tvs-apache-rtr-180/source/tvs-apache-rtr-18068d3db9a60788.jpg,177
TVS,TVS Apache RTR 200 4V,Petrol,1.41 - 1.50 Lakh,https://cdn.bikedekho.com/processedimages/tvs/2025-apache-rtr-200-4v/source/2025-apache-rtr-200-4v68d3daf8c3da5.jpg,197
TVS,TVS Star City Plus,Petrol,72,200 - 74,900,https://cdn.bikedekho.com/processedimages/tvs/tvs-star-city-plus/source/tvs-star-city-plus68db9fd509079.jpg,109
Yamaha,Yamaha R15 V4,Petrol,1.69 - 1.94 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/r15-v4/source/r15-v468bbb605ad77f.jpg,155
Yamaha,Yamaha MT 15 Version 2.0,Petrol,1.55 - 1.74 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/mt-15-v2/source/mt-15-v2688c92cd20a4c.jpg,155
Yamaha,Yamaha RayZR 125 Fi Hybrid,Petrol,73,430 - 85,974,https://cdn.bikedekho.com/processedimages/yamaha/ray-zr-125/source/ray-zr-12568a8198d15c01.jpg,125
Yamaha,Yamaha Aerox 155,Petrol,1.38 - 1.41 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/aerox-155/source/aerox-15568a817d4b5c3a.jpg,155
Yamaha,2025 Yamaha FZ-S Fi,Petrol,1.24 - 1.33 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/2025-fz-s-fi/source/2025-fz-s-fi689c618e45af7.jpg,149
Yamaha,Yamaha FZS-FI V4,Petrol,1.20 - 1.20 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/fzs-fi-v4/source/fzs-fi-v468a818410af08.jpg,149
Yamaha,Yamaha Fascino 125 Fi Hybrid,Petrol,74,044 - 94,254,https://cdn.bikedekho.com/processedimages/yamaha/fascino-125/source/fascino-125689dc6a5b1b6a.jpg,125
Yamaha,Yamaha R15S,Petrol,1.54 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/yzf-r15-v3/640X309/yzf-r15-v36194b5671ad1d.jpg,155
Yamaha,Yamaha FZ X,Petrol,1.19 - 1.30 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/fz-x/source/fz-x68a31d42cc0e4.jpg,149
Yamaha,Yamaha R3,Petrol,3.39 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/2021-r3/source/2021-r3657c4405949f4.jpg,321
Yamaha,Yamaha FZS-FI V3,Petrol,1.13 - 1.14 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/fzs-fi-v3-bs6/source/fzs-fi-v3-bs664e054f378494.jpg,149
Yamaha,Yamaha FZ X Hybrid,Petrol,1.38 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/fz-x-hybrid/source/fz-x-hybrid687780f5d31be.jpg,149
Yamaha,Yamaha FZ-FI V3,Petrol,1.08 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/fz-fi-version-3/source/fz-fi-version-365f47b9751bc5.jpg,149
Yamaha,Yamaha MT-03,Petrol,3.30 Lakh,https://cdn.bikedekho.com/processedimages/yamaha/yamaha-mt-03/source/yamaha-mt-03657c4449354f5.jpg,321
Hero,Hero Splendor Plus,Petrol,73,902 - 76,437,https://cdn.bikedekho.com/processedimages/hero-motocorp/hero-motocorp-splendor/source/hero-motocorp-splendor68a6fbffe9b01.jpg,97
Hero,Hero Splendor Plus XTEC,Petrol,77,428 - 80,471,https://cdn.bikedekho.com/processedimages/hero/splendor-plus-xtec/source/splendor-plus-xtec687a1fd110d23.jpg,97
Hero,Hero Xtreme 125R,Petrol,91,116 - 94,504,https://cdn.bikedekho.com/processedimages/hero/xtreme-125r/source/xtreme-125r68946575865bb.jpg,124
Hero,Hero HF Deluxe,Petrol,55,992 - 66,382,https://cdn.bikedekho.com/processedimages/hero/hf-delux-bs6/source/hf-delux-bs668a6f90dc49e6.jpg,97
Hero,Hero XPulse 200 4V,Petrol,1.40 - 1.55 Lakh,https://cdn.bikedekho.com/processedimages/hero/xpulse-200/source/xpulse-20068d23076426ed.jpg,199
Hero,Hero Xtreme 250R,Petrol,1.66 Lakh,https://cdn.bikedekho.com/processedimages/hero/xtreme-250r/source/xtreme-250r68afe3996b24c.jpg,249
Hero,Hero XPulse 210,Petrol,1.62 - 1.71 Lakh,https://cdn.bikedekho.com/processedimages/hero/xpulse-210/source/xpulse-21068d230d50ddf9.jpg,210
Hero,Hero HF Deluxe Pro,Petrol,68,485,https://cdn.bikedekho.com/processedimages/hero/hf-deluxe-pro/source/hf-deluxe-pro68d22c941e1ae.jpg,97
Hero,Hero Super Splendor XTEC,Petrol,81,998 - 85,594,https://cdn.bikedekho.com/processedimages/hero/super-splendor-xtec/source/super-splendor-xtec68d22ebc42443.jpg,124
Hero,Hero Destini 125,Petrol,75,838 - 84,919,https://cdn.bikedekho.com/processedimages/hero/destini/source/destini689d7a8d09dc8.jpg,124
Hero,Hero Xtreme 160R,Petrol,1.05 Lakh,https://cdn.bikedekho.com/processedimages/hero/xtreme-160r/source/xtreme-160r68d2312564c66.jpg,163
Hero,Hero Glamour,Petrol,81,063 - 84,751,https://cdn.bikedekho.com/processedimages/hero/glamour-2017/source/glamour-201768a6f8b1af3b3.jpg,125
Hero,Hero Pleasure Plus,Petrol,69,766 - 75,712,https://cdn.bikedekho.com/processedimages/hero/pleasure-2019/source/pleasure-201968a6fa8527c42.jpg,110
Hero,Hero Xoom 110,Petrol,72,351 - 77,836,https://cdn.bikedekho.com/processedimages/hero/xoom-110/source/xoom-11068d22f1713237.jpg,110
Hero,Hero Xoom 125,Petrol,80,494 - 86,025,https://cdn.bikedekho.com/processedimages/hero/xoom-125/source/xoom-12568d22f980e0a6.jpg,124
Hero,Hero Passion Plus,Petrol,76,691 - 78,074,https://cdn.bikedekho.com/processedimages/hero/hero-passion-plus/640X309/hero-passion-plus64870d2c4c381.jpg,97
Hero,Hero Glamour X 125,Petrol,82,967 - 92,186,https://cdn.bikedekho.com/processedimages/hero/glamour-xtec-2-0/source/glamour-xtec-2-068b0082edff0f.jpg,124
Hero,Hero Xoom 160,Petrol,1.37 Lakh,https://cdn.bikedekho.com/processedimages/hero/xoom-160/source/xoom-16068d2301de86e8.jpg,156
Hero,Hero Karizma XMR,Petrol,1.84 - 1.86 Lakh,https://cdn.bikedekho.com/processedimages/hero/karizma-xmr-210/source/karizma-xmr-21068a6fa089495f.jpg,210
Hero,Hero Xtreme 160R 4V,Petrol,1.30 Lakh,https://cdn.bikedekho.com/processedimages/hero/xtreme-160r-4v/source/xtreme-160r-4v68d23155450bf.jpg,163
Hero,Hero Mavrick 440,Petrol,2.13 - 2.40 Lakh,https://cdn.bikedekho.com/processedimages/hero/400cc-bike/source/400cc-bike68d22cf2cbc2d.jpg,440
Hero,Hero HF 100,Petrol,58,739,https://cdn.bikedekho.com/processedimages/hero/hf-100/source/hf-10068d22c123d23a.jpg,97
Hero,Hero Glamour XTEC,Petrol,84,106 - 88,346,https://cdn.bikedekho.com/processedimages/hero/glamour-xtec/source/glamour-xtec68d22bb18299b.jpg,124
Hero,Hero Destini Prime,Petrol,69,430,https://cdn.bikedekho.com/processedimages/hero/destini-prime/source/destini-prime68d22b4dd8ccd.jpg,124
Hero,Hero Destini 110,Petrol,72,000 - 79,000,https://cdn.bikedekho.com/processedimages/hero/destini-110/source/destini-11068d2572ba4272.jpg,110
Bajaj,Bajaj Pulsar 125,Petrol,79,048 - 87,527,https://cdn.bikedekho.com/processedimages/bajaj/pulsar-125/source/pulsar-12568a6c4ea16bb2.jpg,124
Bajaj,Bajaj Pulsar NS200,Petrol,1.32 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/bajaj-pulsar-200-ns/source/bajaj-pulsar-200-ns68a6c52da4533.jpg,199
Bajaj,Bajaj Pulsar N160,Petrol,1.13 - 1.26 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/pulsar-n160/source/pulsar-n16068d236047cb91.jpg,164
Bajaj,Bajaj Pulsar NS 125,Petrol,92,182 - 98,400,https://cdn.bikedekho.com/processedimages/bajaj/pulsar-ns-125/source/pulsar-ns-12568d237f68980e.jpg,124
Bajaj,Bajaj Pulsar 150,Petrol,1.05 - 1.12 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/bajaj-pulsar-150/source/bajaj-pulsar-15068d234b84b5eb.jpg,149
Bajaj,Bajaj Pulsar NS160,Petrol,1.20 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/pulsar-150-ns/source/pulsar-150-ns68d236d09c2d3.jpg,160
Bajaj,Bajaj Chetak,Electric,1.07 - 1.40 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/2022-chetak/source/2022-chetak68a6c402cd28b.jpg,0
Bajaj,Bajaj Pulsar RS200,Petrol,1.71 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/2025-pulser-rs200/source/2025-pulser-rs20068d2384e6ead9.jpg,199
Bajaj,Bajaj Dominar 400,Petrol,2.39 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/2025-dominar-400/source/2025-dominar-40068d61d1bb772d.jpg,373
Bajaj,Bajaj Pulsar 220 F,Petrol,1.27 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/bajaj-pulsar-220/source/bajaj-pulsar-22068d23533edb28.jpg,220
Bajaj,Bajaj Pulsar N250,Petrol,1.33 Lakh,https://cdn.bikedekho.com/processedimages/bajaj/pulsar-n250/source/pulsar-n25068d2367605481.jpg,249
Bajaj,Bajaj Platina 110,Petrol,69,284 - 74,214,https://cdn.bikedekho.com/processedimages/bajaj/bajaj-platina/source/bajaj-platina68d2346b0c230.jpg,115
